ID_Cachorro,Nombre,Dias,Raza,Reservado,Genero
1,Sibelle,382,ChowChow,SI,H
3,Ursola,236,Ovejero,SI,H
4,Helga,175,Caniche,SI,H
6,Renaldo,41,Pitbull,NO,H
8,Markos,322,Coquer,NO,H
9,Drugi,62,Coquer,NO,H
10,Johnathon,636,Labrador,SI,H
12,Sasha,195,Bulldog,NO,H
15,Nate,31,Rottweiler,NO,H
20,Carleen,229,Pitbull,NO,H
24,Franky,345,Boxer,SI,H
25,Gillan,620,Ovejero,NO,H
27,Clerc,308,Caniche,NO,H
29,Norbie,507,Boxer,SI,H
31,Genevra,54,Coquer,SI,H
33,Andy,693,Jack Russell,NO,H
37,Dedie,201,Shih Tzu,SI,H
38,Mikael,240,Bulldog,NO,H
39,Bobbee,683,Jack Russell,NO,H
41,Maribelle,532,Shih Tzu,SI,H
42,Phillis,363,Coquer,NO,H
44,Mignonne,298,Shih Tzu,NO,H
46,Padget,714,Rottweiler,SI,H
47,Revkah,644,Coquer,NO,H
50,Yancey,234,Bulldog,SI,H
52,Carilyn,154,ChowChow,NO,H
53,Emanuel,121,Rottweiler,NO,H
55,Torrie,647,Bulldog,SI,H
57,Derry,248,Pitbull,SI,H
59,Brian,185,Rottweiler,NO,H
60,Gina,499,Coquer,SI,H
61,Arlie,134,Caniche,SI,H
63,Corney,214,Labrador,NO,H
64,Zita,243,Pitbull,SI,H
65,Dal,292,Chihuahua,SI,H
67,Bobbie,416,Callejero,SI,H
68,Reilly,686,Bulldog,NO,H
71,Zarah,665,Rottweiler,SI,H
74,Rusty,145,Rottweiler,NO,H
75,Myrtie,550,ChowChow,SI,H
76,Alan,530,Border Collie,NO,H
77,Zaria,433,Shih Tzu,NO,H
78,Gage,159,Boxer,SI,H
79,Mickie,129,Bulldog,SI,H
80,Aaren,202,Coquer,NO,H
81,Renae,602,Rottweiler,SI,H
82,Grazia,606,Caniche,NO,H
84,Erv,290,Jack Russell,SI,H
85,Jobyna,466,Callejero,NO,H
89,Max,293,Border Collie,NO,H
91,Hedwiga,111,Ovejero,NO,H
93,Salomi,610,Labrador,SI,H
94,Goober,503,Callejero,NO,H
95,Newton,239,Ovejero,NO,H
97,Billi,137,Rottweiler,SI,H
100,Deb,547,Chihuahua,SI,H
103,Regen,244,Rottweiler,SI,H
104,Ranique,713,Bulldog,SI,H
109,Korella,538,Jack Russell,SI,H
111,Cesaro,621,Jack Russell,NO,H
112,Elyse,347,Shih Tzu,NO,H
114,Tiphani,83,Shih Tzu,SI,H
115,Kermit,382,Bulldog,SI,H
118,Berk,603,ChowChow,NO,H
122,Kienan,690,Bulldog,NO,H
123,Noellyn,230,Coquer,SI,H
124,Udall,500,Shih Tzu,NO,H
125,Carolyne,241,Jack Russell,NO,H
128,Evaleen,364,Border Collie,SI,H
129,Addi,721,Coquer,SI,H
131,Alejandro,136,Rottweiler,NO,H
133,Leoine,417,Rottweiler,SI,H
134,Fonzie,674,Shih Tzu,NO,H
135,Ivar,636,Border Collie,NO,H
137,Eilis,541,Jack Russell,NO,H
138,Zechariah,368,Ovejero,NO,H
139,Cody,437,ChowChow,SI,H
142,Egbert,637,Rottweiler,NO,H
143,Sherye,616,Callejero,SI,H
144,Maude,222,Caniche,SI,H
147,Vanda,362,Labrador,NO,H
148,Nerita,329,Border Collie,SI,H
149,Lynnell,165,ChowChow,NO,H
150,Ara,683,Callejero,SI,H
151,Joete,589,Shih Tzu,NO,H
153,Luis,528,ChowChow,NO,H
159,Maxine,410,Ovejero,SI,H
164,Cymbre,418,Callejero,NO,H
165,Briana,93,Boxer,NO,H
168,Jonathon,386,Chihuahua,SI,H
170,Lethia,434,Jack Russell,SI,H
171,Jessalyn,55,Labrador,NO,H
173,Merrel,571,Labrador,NO,H
174,Jemimah,406,Border Collie,NO,H
175,Tadeo,402,Shih Tzu,SI,H
176,Faulkner,179,Rottweiler,NO,H
178,Kyrstin,207,Pitbull,NO,H
181,Alvira,338,Boxer,NO,H
184,Modesta,311,Labrador,SI,H
185,Jamal,479,Shih Tzu,SI,H
191,Lay,686,Jack Russell,SI,H
193,Joan,624,Rottweiler,NO,H
195,Craggy,697,Pitbull,NO,H
196,Darrell,455,Shih Tzu,SI,H
200,Glenine,59,Rottweiler,SI,H
201,Orrin,413,Bulldog,NO,H
202,Filippa,99,Pug,NO,H
203,Wiatt,342,Pitbull,SI,H
205,Ashil,321,Coquer,NO,H
206,Locke,404,Bulldog,SI,H
207,Otto,119,Chihuahua,SI,H
208,Leontyne,394,Chihuahua,NO,H
210,Hilly,273,Jack Russell,SI,H
211,Boonie,401,Jack Russell,NO,H
216,Derby,45,Bulldog,SI,H
217,Allegra,426,Pitbull,SI,H
219,Frannie,427,Pug,SI,H
223,Sapphire,538,Pitbull,NO,H
226,Dell,651,Jack Russell,NO,H
227,Malcolm,244,Ovejero,SI,H
236,Boyce,114,Callejero,NO,H
239,Maryjo,244,Border Collie,SI,H
244,Fifine,470,Bulldog,NO,H
245,Maxwell,625,Coquer,SI,H
248,Theodor,728,Shih Tzu,SI,H
250,Calvin,80,Pitbull,NO,H
251,Eb,88,Boxer,SI,H
252,Bryn,563,Pug,SI,H
253,Sabina,593,Jack Russell,NO,H
254,Candida,219,Caniche,NO,H
257,Carlin,624,Labrador,NO,H
259,Lamar,613,Shih Tzu,NO,H
260,Ailene,391,ChowChow,SI,H
266,Cody,95,Bulldog,NO,H
270,Mayne,513,Pug,NO,H
